has_types	0.02824
	0.29416	reptiles
	0.29320	migratory
	0.29244	frogs
	0.29137	amphibian
	0.29128	elephant
	0.28639	sightings
	0.28544	extinct
	0.28230	mollusks
	0.28225	alligators
	0.28194	dolphins
	0.28146	bears
	0.28130	critters
	0.27847	crabs
	0.27755	walruses
	0.27706	swarms
is_wide	0.10000
	0.33035	machete
	0.31118	cloak
	0.30548	umbrella
	0.29519	bus
	0.28084	cloaks
	0.27792	offices
	0.27149	headquarters
	0.26638	gunman
	0.25654	buses
	0.25328	gunmen
	0.25000	affiliated
	0.24695	paramilitary
	0.24643	shadowy
	0.23647	infrastructure
	0.23574	officers
	0.23512	affiliation
	0.23404	organization
	0.23328	cloaked
	0.23313	organizations
	0.23169	attackers
	0.23144	private
	0.22936	security
	0.22593	barricaded
	0.22556	machetes
	0.22525	converged
	0.22474	organisations
	0.22249	campus
	0.22198	branches
	0.22040	access
	0.21987	network
	0.21898	lobby
	0.21887	oak
	0.21831	armed
	0.21795	corridor
	0.21762	delegation
	0.21620	networks
	0.21527	ambushed
	0.21475	motorcade
	0.21405	authorities
	0.21376	militiamen
	0.21261	distanced
	0.21233	police
	0.21153	auspices
	0.21128	airport
	0.21043	unarmed
	0.21023	assailants
	0.20982	organisation
	0.20921	militants
	0.20902	funded
	0.20859	campuses
is_spiky	0.10738
	0.38046	ponderosa
	0.37252	eucalyptus
	0.33635	conifers
	0.33380	pines
	0.32828	porcupine
	0.31486	hemlock
	0.31349	cacti
	0.29913	juniper
	0.29776	cypress
	0.29461	redwoods
	0.29150	sagebrush
	0.28944	forests
	0.28722	riparian
	0.28682	cedars
	0.28465	oaks
	0.28276	softwood
	0.27921	mesquite
	0.27863	koalas
	0.27791	thickets
	0.27788	evergreen
	0.27701	pine
	0.27292	scrubland
	0.26993	hedgehog
	0.26528	lemurs
	0.26511	savanna
	0.26386	ferns
	0.26291	rainforests
	0.26250	sumac
	0.26087	spiny
	0.26074	saplings
	0.26018	herbaceous
	0.26010	evergreens
	0.25971	willows
	0.25861	rainforest
	0.25820	parkland
	0.25813	chaparral
	0.25637	woodlands
	0.25616	grasslands
	0.25484	deciduous
	0.25458	elms
	0.25224	ravines
	0.24926	prickly
	0.24715	redwood
	0.24646	subtropical
	0.24579	rhododendrons
	0.24446	reforestation
	0.24278	forested
	0.24181	clearcut
	0.24049	undergrowth
	0.24043	rattlesnakes
is_rigid	0.11111
	0.39460	bracket
	0.36123	brackets
	0.35994	mounting
	0.34382	bolts
	0.32094	screws
	0.31606	locking
	0.30539	backboard
	0.30505	welded
	0.30256	removable
	0.30150	bolted
	0.29749	fasteners
	0.29481	lateral
	0.29439	tray
	0.28847	positioning
	0.28832	alignment
	0.28197	adjustment
	0.28142	mounts
	0.27604	risers
	0.27589	ladder
	0.27311	compartment
	0.27112	adjustable
	0.26769	components
	0.26727	fracture
	0.26407	chassis
	0.26309	connectors
	0.26007	attachment
	0.25703	tibia
	0.25680	clamping
	0.25633	trays
	0.25601	securing
	0.25485	molded
	0.25447	plate
	0.25385	pivot
	0.25238	uprights
	0.25192	hinge
	0.25150	crossbar
	0.25110	bone
	0.25055	axle
	0.25051	bolt
	0.25049	attaching
	0.25020	mounted
	0.24910	rear
	0.24883	pivots
	0.24857	stability
	0.24725	visor
	0.24701	lumbar
	0.24618	clamp
	0.24612	plates
	0.24497	securely
	0.24467	aluminum
made_of_tissue	0.11236
	0.39723	arm
	0.38258	finger
	0.34681	fingertip
	0.34383	forearm
	0.33293	hands
	0.33216	elbow
	0.33087	fingers
	0.32890	wrist
	0.32251	eye
	0.32202	forehead
	0.32007	knee
	0.31225	flexed
	0.31161	fingertips
	0.30576	knees
	0.30382	foot
	0.29764	extremity
	0.29616	groin
	0.29580	eyelid
	0.29298	elbows
	0.28963	eyes
	0.28953	forefinger
	0.28932	wrists
	0.28103	ankle
	0.28062	hamstring
	0.27874	joint
	0.27475	position
	0.27245	lateral
	0.27102	eyebrow
	0.27032	sprained
	0.26917	thumb
	0.26853	shoulders
	0.26774	eyelids
	0.26766	toes
	0.26764	positioning
	0.26707	corneal
	0.26698	ligament
	0.26540	jaw
	0.26467	nerve
	0.26408	leg
	0.26342	extremities
	0.26322	tendon
	0.26297	hand
	0.26205	feet
	0.25970	shoulder
	0.25856	muscles
	0.25768	crease
	0.25529	anterior
	0.25492	medial
	0.25344	sprain
	0.25289	lips
is_washed	0.11494
	0.36828	undergarments
	0.35009	napkins
	0.32850	knickers
	0.32744	absorbent
	0.32441	napkin
	0.32122	ironed
	0.31932	flannel
	0.29656	cloths
	0.29566	starched
	0.29345	handkerchiefs
	0.29306	rumpled
	0.28896	panties
	0.28003	undershirt
	0.27439	fabrics
	0.27240	tablecloths
	0.26676	garments
	0.26612	bedsheets
	0.26608	underwear
	0.26136	nightgown
	0.26089	underpants
	0.26079	pajamas
	0.26022	washable
	0.25930	soiled
	0.25641	towels
	0.25577	hair
	0.25470	untucked
	0.25368	patterned
	0.25249	linen
	0.25228	pyjamas
	0.25017	bibs
	0.25012	spandex
	0.24676	panty
	0.24659	blouses
	0.24324	wear
	0.24278	waistband
	0.24156	creased
	0.24120	fabric
	0.23812	diapers
	0.23686	tablecloth
	0.23672	aprons
	0.23397	scrunched
	0.23364	creases
	0.23363	polyester
	0.23331	printed
	0.23239	plates
	0.23162	cloth
	0.23142	combed
	0.23051	worn
	0.22942	sheets
	0.22772	wrinkling
has_a_flat_bottom	0.11628
	0.33553	bolts
	0.33335	barrels
	0.32485	bolt
	0.32231	barrel
	0.30942	barge
	0.30777	berth
	0.30002	berths
	0.29613	yards
	0.29539	barges
	0.29151	axle
	0.28313	foot
	0.27888	metres
	0.27717	gallons
	0.27538	bracket
	0.26742	drilling
	0.26562	screws
	0.25644	bolted
	0.25506	diameter
	0.25403	tankers
	0.25357	screw
	0.24955	threaded
	0.24453	drilled
	0.24049	feet
	0.24039	rail
	0.23872	miles
	0.23795	mounting
	0.23613	shaft
	0.23604	touchdowns
	0.23597	preseason
	0.23584	welded
	0.23566	quarter
	0.23552	offseason
	0.23547	ft
	0.23337	pipelines
	0.23278	vessel
	0.23108	pivot
	0.23086	meters
	0.23071	axles
	0.23012	postseason
	0.22997	lbs
	0.22980	extending
	0.22966	shafts
	0.22923	inlet
	0.22826	tonnage
	0.22762	km
	0.22620	tanker
	0.22585	kickoffs
	0.22573	riser
	0.22494	capping
	0.22415	gallon
is_any_shape	0.11864
	0.38349	button
	0.35509	window
	0.34496	dialog
	0.34377	click
	0.32151	automatically
	0.31368	pane
	0.31346	clicking
	0.30538	user
	0.30485	screen
	0.30420	functionality
	0.30414	iTunes
	0.30235	tab
	0.29227	iPhone
	0.28957	function
	0.28725	select
	0.28319	mirror
	0.28273	updates
	0.27589	delete
	0.27339	interface
	0.27312	iPod
	0.27295	iPad
	0.27190	buttons
	0.26852	folder
	0.26674	contents
	0.26509	input
	0.26233	text
	0.26100	menu
	0.26010	lens
	0.25893	item
	0.25842	app
	0.25753	notifications
	0.25692	functions
	0.25527	insert
	0.25422	box
	0.25267	object
	0.25131	browser
	0.25013	users
	0.24930	inbox
	0.24762	ear
	0.24705	external
	0.24621	mode
	0.24577	rearview
	0.24568	apps
	0.24400	updating
	0.24384	feedback
	0.24277	message
	0.24241	windows
	0.24148	settings
	0.24117	display
	0.24036	sidebar
is_spherical	0.12214
	0.33947	grapefruit
	0.31498	apricots
	0.30831	apricot
	0.30829	blueberries
	0.30751	peaches
	0.29774	nectarines
	0.29662	aromas
	0.28997	melon
	0.28949	peach
	0.28733	plums
	0.28546	ripe
	0.27935	raspberries
	0.27774	fruits
	0.27546	oranges
	0.27482	cantaloupe
	0.26401	seedless
	0.26183	candied
	0.26101	cherries
	0.26038	flavors
	0.25886	cultivars
	0.25882	citrus
	0.25668	blueberry
	0.25664	pears
	0.25563	strawberries
	0.25517	ripening
	0.25179	almond
	0.24925	blackberries
	0.24876	melons
	0.24840	complexion
	0.24732	antioxidants
	0.24670	hazelnut
	0.24519	chestnut
	0.24347	currants
	0.24341	currant
	0.24327	almonds
	0.24284	grapes
	0.24254	ripened
	0.24091	fruit
	0.24025	grains
	0.24017	malts
	0.23903	raspberry
	0.23883	creamy
	0.23813	berries
	0.23562	cacao
	0.23550	pomegranate
	0.23178	glaucoma
	0.23089	greens
	0.22819	cataracts
	0.22765	sweetness
	0.22748	pear
is_durable	0.12245
	0.40595	shoes
	0.38451	footwear
	0.38312	sneakers
	0.32892	handbags
	0.31408	bags
	0.31297	jeans
	0.31166	shoe
	0.30669	sandals
	0.29115	mat
	0.28900	boots
	0.28811	adidas
	0.28312	denim
	0.27999	yoga
	0.27351	sneaker
	0.27101	mens
	0.27099	clothing
	0.27057	bag
	0.26741	womens
	0.26587	apparel
	0.26246	leather
	0.25483	totes
	0.25316	wear
	0.25193	gym
	0.25184	fitness
	0.25121	mats
	0.24641	sportswear
	0.24564	trainers
	0.24499	breathable
	0.24417	kayak
	0.24307	handbag
	0.24285	tote
	0.24261	backpacks
	0.24101	belts
	0.24085	canvas
	0.23845	athletic
	0.23748	outlet
	0.23698	jackets
	0.23237	cushioning
	0.23190	durable
	0.22884	suede
	0.22755	clothes
	0.22716	comfortable
	0.22540	backpack
	0.22485	materials
	0.22435	fit
	0.22120	discount
	0.22061	garments
	0.22041	sandal
	0.21927	purses
	0.21915	stylish
is_plain	0.12500
	0.37316	cotton
	0.33809	breathable
	0.32519	socks
	0.32051	polyester
	0.30606	flour
	0.30519	cushioning
	0.30242	sock
	0.29708	fabric
	0.29523	adidas
	0.29228	fleece
	0.29136	knit
	0.28841	washable
	0.28686	fabrics
	0.28180	cushion
	0.28131	wool
	0.27068	textile
	0.26553	absorbent
	0.26485	starch
	0.25774	rice
	0.25641	knitted
	0.25099	basmati
	0.25065	stretchy
	0.24852	garments
	0.24753	shirts
	0.24585	woolen
	0.24563	yarn
	0.24409	shirt
	0.24355	garment
	0.24107	spandex
	0.22951	rayon
	0.22590	flannel
	0.22388	waistband
	0.22288	shorts
	0.22101	flours
	0.21899	cushioned
	0.21739	wheat
	0.21694	pullover
	0.21660	yarns
	0.21041	denim
	0.20795	undershirt
	0.20703	woven
	0.20530	apparel
	0.20489	maize
	0.20467	softness
	0.20461	sewn
	0.20439	comfort
	0.20210	laundered
	0.20135	pants
	0.20092	elastic
	0.19942	tortillas
does_support	0.12727
	0.32042	support
	0.29673	tripod
	0.29371	desk
	0.28884	supportive
	0.28808	memory
	0.28283	supports
	0.27919	bra
	0.27767	alignment
	0.27373	lumbar
	0.26887	bridge
	0.26814	implant
	0.26667	positioning
	0.26594	external
	0.26533	implants
	0.26502	connecting
	0.26321	supporting
	0.25741	connect
	0.25386	wireless
	0.25364	stabilization
	0.25203	connectivity
	0.25044	pelvis
	0.24931	flexibility
	0.24855	bone
	0.24693	comfortable
	0.24494	ergonomic
	0.24285	interface
	0.24275	interfaces
	0.24139	focus
	0.24095	fit
	0.24095	internal
	0.24079	positions
	0.24057	wired
	0.23983	position
	0.23922	posture
	0.23883	camera
	0.23701	padding
	0.23557	supported
	0.23457	placement
	0.23426	spine
	0.23383	mattress
	0.23321	peripheral
	0.23265	stability
	0.23093	compatible
	0.23077	pad
	0.22836	connected
	0.22810	pelvic
	0.22796	devices
	0.22689	sleep
	0.22686	pillow
	0.22619	stay
does_play	0.12903
	0.31648	purebred
	0.30609	dogs
	0.30439	dog
	0.30280	bottlenose
	0.30043	beagle
	0.29810	pups
	0.29724	puppy
	0.29417	puppies
	0.29172	breed
	0.29121	euthanized
	0.29071	otter
	0.28893	collie
	0.28725	orca
	0.28647	adoptions
	0.28190	breeders
	0.28116	mammal
	0.27796	greyhounds
	0.27520	breeds
	0.27511	adoption
	0.27441	breeder
	0.27232	ferret
